numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P431,CLI-411,2026-02-14,PENDIENTE,ZONA30,false
P432,CLI-196,2026-01-23,PENDIENTE,ZONA3,false
P433,CLI-152,2026-02-27,PENDIENTE,ZONA23,false
P434,CLI-472,2026-02-21,ENTREGADO,ZONA14,false
P435,CLI-367,2026-02-14,PENDIENTE,ZONA19,false
P436,CLI-060,2026-02-22,ENTREGADO,ZONA30,false
P437,CLI-176,2026-01-31,ENTREGADO,ZONA11,true
P438,CLI-313,2026-02-24,ENTREGADO,ZONA16,false
P439,CLI-127,2026-02-20,PENDIENTE,ZONA18,false
P440,CLI-261,2026-01-25,ENTREGADO,ZONA27,false
P441,CLI-350,2026-02-14,PENDIENTE,ZONA17,false
P442,CLI-326,2026-03-01,PENDIENTE,ZONA20,false
P443,CLI-226,2026-01-22,PENDIENTE,ZONA17,true
P444,CLI-019,2026-01-31,PENDIENTE,ZONA20,true
P445,CLI-391,2026-02-06,ENTREGADO,ZONA30,false
P446,CLI-030,2026-02-08,CONFIRMADO,ZONA11,true
P447,CLI-094,2026-01-29,ENTREGADO,ZONA9,true
P448,CLI-466,2026-02-13,CONFIRMADO,ZONA9,false
P449,CLI-125,2026-02-06,ENTREGADO,ZONA1,false
P450,CLI-273,2026-01-22,CONFIRMADO,ZONA24,false
P451,CLI-049,2026-02-23,PENDIENTE,ZONA25,false
P452,CLI-365,2026-02-05,PENDIENTE,ZONA3,false
P453,CLI-295,2026-02-24,CONFIRMADO,ZONA9,false
P454,CLI-427,2026-01-21,ENTREGADO,ZONA29,false
P455,CLI-018,2026-02-16,ENTREGADO,ZONA1,true
P456,CLI-482,2026-02-03,PENDIENTE,ZONA6,false
P457,CLI-288,2026-02-26,ENTREGADO,ZONA12,true
P458,CLI-171,2026-02-19,ENTREGADO,ZONA21,false
P459,CLI-305,2026-02-14,PENDIENTE,ZONA3,false
P460,CLI-444,2026-02-04,CONFIRMADO,ZONA6,false
P461,CLI-473,2026-01-25,ENTREGADO,ZONA9,true
P462,CLI-198,2026-02-15,CONFIRMADO,ZONA4,true
P463,CLI-159,2026-02-01,CONFIRMADO,ZONA13,true
P464,CLI-264,2026-01-25,ENTREGADO,ZONA9,false
P465,CLI-316,2026-02-07,PENDIENTE,ZONA12,false
P466,CLI-073,2026-02-17,ENTREGADO,ZONA13,true
P467,CLI-221,2026-02-04,CONFIRMADO,ZONA25,false
P468,CLI-299,2026-02-03,PENDIENTE,ZONA3,false
P469,CLI-226,2026-02-06,PENDIENTE,ZONA21,true
P470,CLI-474,2026-02-08,PENDIENTE,ZONA7,true
P471,CLI-380,2026-02-04,ENTREGADO,ZONA24,true
P472,CLI-292,2026-02-05,CONFIRMADO,ZONA17,false
P473,CLI-139,2026-02-09,ENTREGADO,ZONA26,false
P474,CLI-381,2026-01-30,ENTREGADO,ZONA4,true
P475,CLI-380,2026-02-24,CONFIRMADO,ZONA22,true
P476,CLI-292,2026-02-12,PENDIENTE,ZONA2,false
P477,CLI-438,2026-01-28,ENTREGADO,ZONA18,false
P478,CLI-351,2026-02-27,ENTREGADO,ZONA23,false
P479,CLI-087,2026-02-02,ENTREGADO,ZONA1,true
P480,CLI-362,2026-01-29,CONFIRMADO,ZONA23,true
P481,CLI-249,2026-02-07,ENTREGADO,ZONA14,false
P482,CLI-429,2026-02-19,ENTREGADO,ZONA11,false
P483,CLI-420,2026-01-21,ENTREGADO,ZONA16,false
P484,CLI-486,2026-02-09,CONFIRMADO,ZONA24,false
P485,CLI-426,2026-02-13,PENDIENTE,ZONA10,false
P486,CLI-035,2026-02-10,CONFIRMADO,ZONA13,false
P487,CLI-332,2026-02-15,ENTREGADO,ZONA23,true
P488,CLI-438,2026-02-23,CONFIRMADO,ZONA29,true
P489,CLI-447,2026-02-12,PENDIENTE,ZONA3,false
P490,CLI-181,2026-01-21,ENTREGADO,ZONA20,false
P491,CLI-336,2026-02-03,CONFIRMADO,ZONA16,true
P492,CLI-180,2026-02-08,CONFIRMADO,ZONA10,false
P493,CLI-137,2026-01-21,PENDIENTE,ZONA24,true
P494,CLI-089,2026-02-07,ENTREGADO,ZONA11,false
P495,CLI-390,2026-02-07,PENDIENTE,ZONA19,false
P496,CLI-431,2026-01-21,ENTREGADO,ZONA26,false
P497,CLI-151,2026-02-14,PENDIENTE,ZONA3,true
P498,CLI-240,2026-02-20,ENTREGADO,ZONA13,false
P499,CLI-400,2026-02-15,ENTREGADO,ZONA12,false
P500,CLI-451,2026-02-21,ENTREGADO,ZONA4,false
P501,CLI-173,2026-02-21,CONFIRMADO,ZONA8,false
P502,CLI-168,2026-02-18,ENTREGADO,ZONA23,false
P503,CLI-345,2026-02-01,ENTREGADO,ZONA4,false
P504,CLI-114,2026-02-01,PENDIENTE,ZONA20,false
P505,CLI-130,2026-01-25,ENTREGADO,ZONA24,false
P506,CLI-371,2026-02-09,CONFIRMADO,ZONA22,false
P507,CLI-051,2026-01-28,CONFIRMADO,ZONA17,false
P508,CLI-122,2026-01-30,CONFIRMADO,ZONA8,false
P509,CLI-435,2026-01-27,CONFIRMADO,ZONA18,false
P510,CLI-396,2026-02-01,CONFIRMADO,ZONA4,true
P511,CLI-420,2026-02-09,CONFIRMADO,ZONA21,false
P512,CLI-092,2026-01-24,CONFIRMADO,ZONA4,true
P513,CLI-469,2026-01-25,CONFIRMADO,ZONA28,false
P514,CLI-182,2026-02-13,ENTREGADO,ZONA21,false
P515,CLI-057,2026-02-28,PENDIENTE,ZONA16,true
P516,CLI-176,2026-02-13,PENDIENTE,ZONA13,true
P517,CLI-474,2026-02-20,ENTREGADO,ZONA3,false
P518,CLI-116,2026-01-30,PENDIENTE,ZONA26,true
P519,CLI-115,2026-02-02,CONFIRMADO,ZONA2,false
P520,CLI-149,2026-02-26,PENDIENTE,ZONA22,true
P521,CLI-281,2026-02-08,ENTREGADO,ZONA8,false
P522,CLI-107,2026-01-27,ENTREGADO,ZONA4,false
P523,CLI-169,2026-02-24,CONFIRMADO,ZONA25,false
P524,CLI-380,2026-02-19,PENDIENTE,ZONA20,false
P525,CLI-028,2026-02-11,CONFIRMADO,ZONA22,false
P526,CLI-207,2026-03-01,ENTREGADO,ZONA24,true
P527,CLI-057,2026-02-10,CONFIRMADO,ZONA28,false
P528,CLI-157,2026-01-27,ENTREGADO,ZONA8,false
P529,CLI-277,2026-02-12,CONFIRMADO,ZONA27,false
P530,CLI-497,2026-02-12,CONFIRMADO,ZONA21,true
P531,CLI-312,2026-02-15,PENDIENTE,ZONA8,false
P532,CLI-163,2026-02-02,PENDIENTE,ZONA14,true
P533,CLI-337,2026-02-08,PENDIENTE,ZONA25,true
P534,CLI-482,2026-02-02,PENDIENTE,ZONA12,false
P535,CLI-490,2026-02-10,PENDIENTE,ZONA14,true
P536,CLI-064,2026-02-06,ENTREGADO,ZONA7,false
P537,CLI-467,2026-02-07,PENDIENTE,ZONA7,false
P538,CLI-122,2026-01-29,ENTREGADO,ZONA26,false
P539,CLI-100,2026-02-07,CONFIRMADO,ZONA14,false
P540,CLI-157,2026-02-26,CONFIRMADO,ZONA23,true
P541,CLI-425,2026-02-23,CONFIRMADO,ZONA25,false
P542,CLI-268,2026-02-12,CONFIRMADO,ZONA28,false
P543,CLI-147,2026-02-08,ENTREGADO,ZONA5,false
P544,CLI-447,2026-02-07,PENDIENTE,ZONA30,false
P545,CLI-277,2026-02-13,ENTREGADO,ZONA18,false
P546,CLI-410,2026-02-09,PENDIENTE,ZONA27,false
P547,CLI-414,2026-02-06,PENDIENTE,ZONA17,false
P548,CLI-479,2026-02-19,ENTREGADO,ZONA18,false
P549,CLI-149,2026-01-21,PENDIENTE,ZONA10,false
P550,CLI-309,2026-02-26,ENTREGADO,ZONA16,false
P551,CLI-376,2026-01-25,ENTREGADO,ZONA21,true
P552,CLI-309,2026-01-24,CONFIRMADO,ZONA2,true
P553,CLI-014,2026-02-07,CONFIRMADO,ZONA16,false
P554,CLI-245,2026-02-18,ENTREGADO,ZONA7,false
P555,CLI-053,2026-01-23,PENDIENTE,ZONA19,true
P556,CLI-142,2026-01-30,PENDIENTE,ZONA3,true
P557,CLI-056,2026-01-30,CONFIRMADO,ZONA22,false
P558,CLI-175,2026-01-27,PENDIENTE,ZONA30,true
P559,CLI-333,2026-02-24,PENDIENTE,ZONA21,false
P560,CLI-331,2026-02-08,PENDIENTE,ZONA15,true
P561,CLI-186,2026-02-11,CONFIRMADO,ZONA13,false
P562,CLI-313,2026-02-25,CONFIRMADO,ZONA12,false
P563,CLI-233,2026-02-13,CONFIRMADO,ZONA24,false
P564,CLI-315,2026-01-25,CONFIRMADO,ZONA18,true
P565,CLI-012,2026-02-17,CONFIRMADO,ZONA24,false
P566,CLI-355,2026-02-09,ENTREGADO,ZONA6,true
P567,CLI-430,2026-01-30,CONFIRMADO,ZONA9,true
P568,CLI-084,2026-02-16,CONFIRMADO,ZONA28,false
P569,CLI-439,2026-02-07,ENTREGADO,ZONA30,false
P570,CLI-063,2026-02-07,ENTREGADO,ZONA24,false
P571,CLI-384,2026-02-21,PENDIENTE,ZONA10,true
P572,CLI-196,2026-02-22,CONFIRMADO,ZONA26,false
P573,CLI-168,2026-02-07,CONFIRMADO,ZONA13,true
P574,CLI-447,2026-02-11,ENTREGADO,ZONA21,false
P575,CLI-173,2026-02-17,PENDIENTE,ZONA3,false
P576,CLI-197,2026-02-13,CONFIRMADO,ZONA3,false
P577,CLI-152,2026-02-03,CONFIRMADO,ZONA6,false
P578,CLI-049,2026-01-26,CONFIRMADO,ZONA24,false
P579,CLI-428,2026-01-28,CONFIRMADO,ZONA29,false
P580,CLI-042,2026-01-28,ENTREGADO,ZONA17,true
P581,CLI-136,2026-02-14,ENTREGADO,ZONA16,true
P582,CLI-360,2026-02-15,CONFIRMADO,ZONA13,false
P583,CLI-326,2026-02-09,CONFIRMADO,ZONA5,false
P584,CLI-100,2026-02-21,PENDIENTE,ZONA22,false
P585,CLI-400,2026-01-28,PENDIENTE,ZONA4,false
P586,CLI-079,2026-01-27,PENDIENTE,ZONA1,false
P587,CLI-364,2026-01-29,ENTREGADO,ZONA14,false
P588,CLI-231,2026-01-31,CONFIRMADO,ZONA21,true
P589,CLI-412,2026-02-01,PENDIENTE,ZONA25,false
P590,CLI-363,2026-02-20,PENDIENTE,ZONA20,false
P591,CLI-492,2026-02-25,PENDIENTE,ZONA15,false
P592,CLI-077,2026-02-17,PENDIENTE,ZONA11,false
P593,CLI-378,2026-02-25,PENDIENTE,ZONA11,false
P594,CLI-101,2026-02-02,ENTREGADO,ZONA26,false
P595,CLI-453,2026-01-26,PENDIENTE,ZONA18,false
P596,CLI-222,2026-02-26,PENDIENTE,ZONA9,false
P597,CLI-314,2026-02-17,CONFIRMADO,ZONA26,false
P598,CLI-133,2026-02-23,CONFIRMADO,ZONA1,true
P599,CLI-317,2026-02-15,PENDIENTE,ZONA8,true
P600,CLI-164,2026-02-18,CONFIRMADO,ZONA22,false
P601,CLI-465,2026-02-14,ENTREGADO,ZONA1,false
P602,CLI-002,2026-01-22,ENTREGADO,ZONA25,false
P603,CLI-352,2026-02-01,CONFIRMADO,ZONA7,true
P604,CLI-489,2026-01-23,PENDIENTE,ZONA29,false
P605,CLI-053,2026-01-22,PENDIENTE,ZONA6,false
P606,CLI-191,2026-02-03,ENTREGADO,ZONA28,false
P607,CLI-319,2026-01-28,PENDIENTE,ZONA28,false
P608,CLI-295,2026-03-01,ENTREGADO,ZONA21,false
P609,CLI-053,2026-01-21,ENTREGADO,ZONA14,true
P610,CLI-237,2026-01-30,PENDIENTE,ZONA22,true
P611,CLI-468,2026-02-02,ENTREGADO,ZONA28,true
P612,CLI-436,2026-01-28,CONFIRMADO,ZONA30,false
P613,CLI-124,2026-01-25,CONFIRMADO,ZONA2,true
P614,CLI-361,2026-02-24,ENTREGADO,ZONA12,false
P615,CLI-083,2026-02-17,PENDIENTE,ZONA14,false
P616,CLI-248,2026-02-07,ENTREGADO,ZONA16,false
P617,CLI-386,2026-02-06,ENTREGADO,ZONA28,false
P618,CLI-159,2026-02-14,PENDIENTE,ZONA13,false
P619,CLI-438,2026-02-01,CONFIRMADO,ZONA10,false
P620,CLI-500,2026-02-28,CONFIRMADO,ZONA15,false
P621,CLI-343,2026-02-08,ENTREGADO,ZONA28,false
P622,CLI-150,2026-02-24,PENDIENTE,ZONA17,false
P623,CLI-349,2026-02-14,ENTREGADO,ZONA30,true
P624,CLI-365,2026-02-20,PENDIENTE,ZONA14,false
P625,CLI-165,2026-02-14,CONFIRMADO,ZONA16,false
P626,CLI-327,2026-02-15,ENTREGADO,ZONA9,false
P627,CLI-449,2026-02-27,PENDIENTE,ZONA26,false
P628,CLI-103,2026-02-26,PENDIENTE,ZONA8,false
P629,CLI-470,2026-02-05,CONFIRMADO,ZONA20,true
P630,CLI-321,2026-02-28,CONFIRMADO,ZONA9,false
P631,CLI-018,2026-02-21,PENDIENTE,ZONA3,false
P632,CLI-402,2026-02-02,PENDIENTE,ZONA21,true
P633,CLI-241,2026-01-22,ENTREGADO,ZONA17,true
P634,CLI-380,2026-02-21,CONFIRMADO,ZONA9,true
P635,CLI-116,2026-02-11,ENTREGADO,ZONA30,true
P636,CLI-020,2026-02-23,PENDIENTE,ZONA18,false
P637,CLI-260,2026-02-01,ENTREGADO,ZONA18,false
P638,CLI-028,2026-02-14,PENDIENTE,ZONA16,false
P639,CLI-394,2026-02-01,ENTREGADO,ZONA18,false
P640,CLI-148,2026-02-08,CONFIRMADO,ZONA15,false
P641,CLI-451,2026-02-03,CONFIRMADO,ZONA17,true
P642,CLI-278,2026-02-02,ENTREGADO,ZONA16,true
P643,CLI-222,2026-01-22,PENDIENTE,ZONA21,false
P644,CLI-494,2026-02-08,ENTREGADO,ZONA8,false
P645,CLI-196,2026-02-25,CONFIRMADO,ZONA7,false
P646,CLI-141,2026-01-22,ENTREGADO,ZONA17,true
P647,CLI-419,2026-02-04,PENDIENTE,ZONA5,false
P648,CLI-096,2026-02-02,PENDIENTE,ZONA23,false
P649,CLI-446,2026-02-02,ENTREGADO,ZONA29,false
P650,CLI-372,2026-01-30,PENDIENTE,ZONA9,true
P651,CLI-270,2026-02-28,CONFIRMADO,ZONA15,true
P652,CLI-188,2026-02-19,PENDIENTE,ZONA30,false
P653,CLI-232,2026-02-10,CONFIRMADO,ZONA21,false
P654,CLI-443,2026-02-12,PENDIENTE,ZONA10,false
P655,CLI-404,2026-02-08,CONFIRMADO,ZONA23,false
P656,CLI-239,2026-02-23,ENTREGADO,ZONA25,false
P657,CLI-440,2026-01-30,PENDIENTE,ZONA18,false
P658,CLI-385,2026-02-06,CONFIRMADO,ZONA15,false
P659,CLI-183,2026-02-10,ENTREGADO,ZONA7,false
P660,CLI-315,2026-02-09,ENTREGADO,ZONA15,true
P661,CLI-180,2026-02-06,ENTREGADO,ZONA1,true
P662,CLI-059,2026-01-23,CONFIRMADO,ZONA23,true
P663,CLI-389,2026-01-30,PENDIENTE,ZONA20,false
P664,CLI-262,2026-02-03,CONFIRMADO,ZONA19,false
P665,CLI-058,2026-02-22,CONFIRMADO,ZONA1,true
P666,CLI-130,2026-02-07,PENDIENTE,ZONA3,false
P667,CLI-232,2026-01-28,CONFIRMADO,ZONA13,false
P668,CLI-236,2026-01-27,ENTREGADO,ZONA7,false
P669,CLI-135,2026-02-25,PENDIENTE,ZONA11,true
P670,CLI-218,2026-01-23,PENDIENTE,ZONA8,false
P671,CLI-368,2026-02-14,PENDIENTE,ZONA19,true
P672,CLI-419,2026-01-31,PENDIENTE,ZONA16,false
P673,CLI-360,2026-02-02,ENTREGADO,ZONA13,false
P674,CLI-046,2026-01-29,ENTREGADO,ZONA22,false
P675,CLI-115,2026-02-26,PENDIENTE,ZONA26,false
P676,CLI-460,2026-02-09,ENTREGADO,ZONA11,false
P677,CLI-224,2026-02-20,ENTREGADO,ZONA19,false
P678,CLI-324,2026-03-01,CONFIRMADO,ZONA11,true
P679,CLI-477,2026-01-22,CONFIRMADO,ZONA9,false
P680,CLI-464,2026-02-16,PENDIENTE,ZONA1,false
P681,CLI-333,2026-02-10,ENTREGADO,ZONA5,false
P682,CLI-012,2026-02-19,PENDIENTE,ZONA21,true
P683,CLI-337,2026-02-18,PENDIENTE,ZONA8,false
P684,CLI-361,2026-02-23,CONFIRMADO,ZONA2,false
P685,CLI-208,2026-02-05,CONFIRMADO,ZONA21,false
P686,CLI-215,2026-02-22,CONFIRMADO,ZONA29,true
P687,CLI-387,2026-01-22,PENDIENTE,ZONA28,false
P688,CLI-171,2026-02-27,CONFIRMADO,ZONA21,true
P689,CLI-175,2026-02-17,PENDIENTE,ZONA12,false
P690,CLI-417,2026-02-23,PENDIENTE,ZONA2,false
P691,CLI-334,2026-02-17,ENTREGADO,ZONA19,false
P692,CLI-337,2026-01-23,PENDIENTE,ZONA28,true
P693,CLI-064,2026-02-15,ENTREGADO,ZONA5,true
P694,CLI-441,2026-01-26,ENTREGADO,ZONA26,true
P695,CLI-250,2026-01-27,PENDIENTE,ZONA15,true
P696,CLI-307,2026-02-12,PENDIENTE,ZONA25,false
P697,CLI-048,2026-01-26,ENTREGADO,ZONA9,true
P698,CLI-127,2026-02-13,ENTREGADO,ZONA21,true
P699,CLI-439,2026-02-14,ENTREGADO,ZONA2,true
P700,CLI-266,2026-02-14,CONFIRMADO,ZONA8,false
P701,CLI-222,2026-02-15,CONFIRMADO,ZONA19,false
P702,CLI-036,2026-02-12,CONFIRMADO,ZONA17,false
P703,CLI-214,2026-02-11,CONFIRMADO,ZONA21,false
P704,CLI-302,2026-02-07,PENDIENTE,ZONA17,false
P705,CLI-320,2026-01-30,ENTREGADO,ZONA22,false
P706,CLI-326,2026-02-01,CONFIRMADO,ZONA7,false
P707,CLI-373,2026-01-22,CONFIRMADO,ZONA5,false
P708,CLI-385,2026-01-24,PENDIENTE,ZONA29,false
P709,CLI-197,2026-02-02,ENTREGADO,ZONA7,false
P710,CLI-461,2026-01-22,ENTREGADO,ZONA12,false
P711,CLI-226,2026-02-09,PENDIENTE,ZONA3,true
P712,CLI-003,2026-02-06,PENDIENTE,ZONA11,false
P713,CLI-281,2026-02-07,CONFIRMADO,ZONA18,false
P714,CLI-339,2026-02-08,ENTREGADO,ZONA17,false
P715,CLI-079,2026-02-08,PENDIENTE,ZONA5,true
P716,CLI-454,2026-02-15,ENTREGADO,ZONA26,false
P717,CLI-397,2026-02-05,PENDIENTE,ZONA6,false
P718,CLI-169,2026-02-25,PENDIENTE,ZONA5,false
P719,CLI-340,2026-02-22,ENTREGADO,ZONA7,false
P720,CLI-476,2026-02-19,CONFIRMADO,ZONA24,false
P721,CLI-495,2026-02-14,ENTREGADO,ZONA1,false
P722,CLI-122,2026-02-28,CONFIRMADO,ZONA27,false
P723,CLI-082,2026-03-01,PENDIENTE,ZONA1,false
P724,CLI-313,2026-02-04,CONFIRMADO,ZONA1,false
P725,CLI-202,2026-01-23,PENDIENTE,ZONA19,true
P726,CLI-063,2026-02-28,CONFIRMADO,ZONA14,true
P727,CLI-313,2026-02-17,ENTREGADO,ZONA24,true
P728,CLI-295,2026-02-10,PENDIENTE,ZONA23,false
P729,CLI-320,2026-01-30,PENDIENTE,ZONA2,true
P730,CLI-441,2026-01-29,ENTREGADO,ZONA7,false
P731,CLI-101,2026-02-04,CONFIRMADO,ZONA10,true
P732,CLI-319,2026-01-24,ENTREGADO,ZONA26,true
P733,CLI-180,2026-02-03,ENTREGADO,ZONA26,true
P734,CLI-059,2026-02-26,ENTREGADO,ZONA7,false
P735,CLI-418,2026-01-24,CONFIRMADO,ZONA7,false
P736,CLI-390,2026-02-28,PENDIENTE,ZONA6,false
P737,CLI-339,2026-01-27,CONFIRMADO,ZONA24,true
P738,CLI-301,2026-02-10,CONFIRMADO,ZONA11,false
P739,CLI-444,2026-02-03,CONFIRMADO,ZONA7,true
P740,CLI-238,2026-02-11,CONFIRMADO,ZONA5,false
P741,CLI-494,2026-02-27,ENTREGADO,ZONA26,true
P742,CLI-483,2026-02-12,ENTREGADO,ZONA20,true
P743,CLI-092,2026-02-18,ENTREGADO,ZONA2,true
P744,CLI-027,2026-02-02,CONFIRMADO,ZONA14,true
P745,CLI-005,2026-02-24,CONFIRMADO,ZONA14,false
P746,CLI-072,2026-02-28,CONFIRMADO,ZONA1,true
P747,CLI-185,2026-02-04,ENTREGADO,ZONA26,false
P748,CLI-204,2026-02-21,ENTREGADO,ZONA14,true
P749,CLI-334,2026-02-24,CONFIRMADO,ZONA5,false
P750,CLI-434,2026-01-31,PENDIENTE,ZONA12,false
P751,CLI-366,2026-01-24,ENTREGADO,ZONA20,false
P752,CLI-458,2026-01-29,PENDIENTE,ZONA27,false
P753,CLI-385,2026-01-30,PENDIENTE,ZONA24,false
P754,CLI-062,2026-02-15,CONFIRMADO,ZONA11,false
P755,CLI-275,2026-02-18,CONFIRMADO,ZONA4,false
P756,CLI-399,2026-01-23,PENDIENTE,ZONA30,true
P757,CLI-259,2026-01-21,ENTREGADO,ZONA12,false
P758,CLI-179,2026-02-09,ENTREGADO,ZONA17,false
P759,CLI-459,2026-02-25,CONFIRMADO,ZONA19,false
P760,CLI-354,2026-02-19,CONFIRMADO,ZONA22,true
P761,CLI-498,2026-01-28,PENDIENTE,ZONA2,true
P762,CLI-069,2026-02-14,ENTREGADO,ZONA24,true
P763,CLI-337,2026-02-27,PENDIENTE,ZONA28,false
P764,CLI-061,2026-02-04,ENTREGADO,ZONA16,false
P765,CLI-108,2026-02-08,CONFIRMADO,ZONA18,false
P766,CLI-224,2026-02-08,CONFIRMADO,ZONA26,false
P767,CLI-287,2026-02-04,CONFIRMADO,ZONA9,true
P768,CLI-153,2026-02-26,ENTREGADO,ZONA9,false
P769,CLI-142,2026-02-26,CONFIRMADO,ZONA22,false
P770,CLI-496,2026-02-27,CONFIRMADO,ZONA20,false
P771,CLI-460,2026-02-18,CONFIRMADO,ZONA2,true
P772,CLI-221,2026-02-07,PENDIENTE,ZONA11,false
P773,CLI-259,2026-02-24,ENTREGADO,ZONA14,false
P774,CLI-086,2026-02-16,CONFIRMADO,ZONA23,false
P775,CLI-500,2026-02-20,PENDIENTE,ZONA11,false
P776,CLI-468,2026-01-25,CONFIRMADO,ZONA3,true
P777,CLI-442,2026-03-01,ENTREGADO,ZONA24,false
P778,CLI-114,2026-02-20,CONFIRMADO,ZONA19,false
P779,CLI-103,2026-02-19,ENTREGADO,ZONA10,false
P780,CLI-450,2026-02-12,PENDIENTE,ZONA19,true
P781,CLI-332,2026-02-07,PENDIENTE,ZONA17,false
P782,CLI-045,2026-02-03,CONFIRMADO,ZONA29,true
P783,CLI-052,2026-02-23,ENTREGADO,ZONA12,false
P784,CLI-334,2026-01-26,ENTREGADO,ZONA13,true
P785,CLI-141,2026-01-30,CONFIRMADO,ZONA25,false
P786,CLI-249,2026-01-29,ENTREGADO,ZONA13,true
P787,CLI-467,2026-02-09,ENTREGADO,ZONA28,true
P788,CLI-324,2026-01-25,CONFIRMADO,ZONA10,true
P789,CLI-410,2026-02-16,PENDIENTE,ZONA10,false
P790,CLI-474,2026-02-27,PENDIENTE,ZONA27,false
P791,CLI-012,2026-01-22,PENDIENTE,ZONA10,false
P792,CLI-415,2026-02-25,PENDIENTE,ZONA3,false
P793,CLI-407,2026-02-18,CONFIRMADO,ZONA5,true
P794,CLI-184,2026-02-10,PENDIENTE,ZONA22,false
P795,CLI-303,2026-01-24,CONFIRMADO,ZONA1,false
P796,CLI-241,2026-01-25,ENTREGADO,ZONA5,false
P797,CLI-276,2026-02-10,ENTREGADO,ZONA17,true
P798,CLI-257,2026-01-24,PENDIENTE,ZONA27,false
P799,CLI-093,2026-01-22,PENDIENTE,ZONA28,false
P800,CLI-399,2026-02-16,ENTREGADO,ZONA16,false
P801,CLI-340,2026-01-27,CONFIRMADO,ZONA19,true
P802,CLI-202,2026-01-25,PENDIENTE,ZONA25,false
P803,CLI-063,2026-02-26,PENDIENTE,ZONA25,false
P804,CLI-033,2026-02-09,CONFIRMADO,ZONA23,true
P805,CLI-435,2026-03-01,PENDIENTE,ZONA17,false
P806,CLI-336,2026-01-21,PENDIENTE,ZONA18,false
P807,CLI-257,2026-02-02,PENDIENTE,ZONA29,true
P808,CLI-366,2026-02-03,PENDIENTE,ZONA16,false
P809,CLI-104,2026-01-31,CONFIRMADO,ZONA8,true
P810,CLI-363,2026-02-28,CONFIRMADO,ZONA26,false
P811,CLI-418,2026-02-16,ENTREGADO,ZONA5,true
P812,CLI-022,2026-02-19,CONFIRMADO,ZONA26,true
P813,CLI-301,2026-02-04,ENTREGADO,ZONA16,false
P814,CLI-312,2026-02-27,ENTREGADO,ZONA9,false
P815,CLI-265,2026-02-15,PENDIENTE,ZONA11,false
P816,CLI-422,2026-02-22,PENDIENTE,ZONA12,false
P817,CLI-144,2026-01-27,PENDIENTE,ZONA27,true
P818,CLI-472,2026-03-01,CONFIRMADO,ZONA11,true
P819,CLI-096,2026-02-23,PENDIENTE,ZONA7,false
P820,CLI-139,2026-02-13,ENTREGADO,ZONA21,false
P821,CLI-030,2026-01-22,PENDIENTE,ZONA29,false
P822,CLI-468,2026-01-26,CONFIRMADO,ZONA10,true
P823,CLI-281,2026-02-26,ENTREGADO,ZONA8,false
P824,CLI-211,2026-01-31,PENDIENTE,ZONA26,true
P825,CLI-312,2026-02-28,PENDIENTE,ZONA11,false
P826,CLI-150,2026-03-01,PENDIENTE,ZONA27,true
P827,CLI-421,2026-02-14,PENDIENTE,ZONA28,true
P828,CLI-425,2026-02-21,PENDIENTE,ZONA24,true
P829,CLI-204,2026-01-30,ENTREGADO,ZONA25,true
P830,CLI-303,2026-02-13,ENTREGADO,ZONA6,false
P831,CLI-253,2026-01-25,ENTREGADO,ZONA22,false
P832,CLI-362,2026-01-25,CONFIRMADO,ZONA9,false
P833,CLI-375,2026-02-22,PENDIENTE,ZONA18,false
P834,CLI-036,2026-02-13,ENTREGADO,ZONA9,false
P835,CLI-453,2026-02-17,ENTREGADO,ZONA9,false
P836,CLI-007,2026-02-03,CONFIRMADO,ZONA1,false
P837,CLI-051,2026-02-17,CONFIRMADO,ZONA3,true
P838,CLI-168,2026-02-17,PENDIENTE,ZONA16,false
P839,CLI-024,2026-02-24,CONFIRMADO,ZONA4,false
P840,CLI-435,2026-01-27,ENTREGADO,ZONA4,false
P841,CLI-085,2026-02-07,CONFIRMADO,ZONA9,false
P842,CLI-061,2026-02-28,PENDIENTE,ZONA16,false
P843,CLI-223,2026-02-26,CONFIRMADO,ZONA15,false
P844,CLI-029,2026-01-31,CONFIRMADO,ZONA20,false
P845,CLI-477,2026-02-25,ENTREGADO,ZONA10,false
P846,CLI-318,2026-02-26,PENDIENTE,ZONA19,false
P847,CLI-225,2026-02-12,ENTREGADO,ZONA28,false
P848,CLI-162,2026-01-22,ENTREGADO,ZONA7,false
P849,CLI-412,2026-01-21,CONFIRMADO,ZONA15,false
P850,CLI-012,2026-02-03,ENTREGADO,ZONA15,false
P851,CLI-490,2026-02-18,ENTREGADO,ZONA14,false
P852,CLI-471,2026-02-13,CONFIRMADO,ZONA16,false
P853,CLI-262,2026-02-08,CONFIRMADO,ZONA6,true
P854,CLI-324,2026-01-25,ENTREGADO,ZONA24,false
P855,CLI-330,2026-02-20,CONFIRMADO,ZONA3,true
P856,CLI-293,2026-02-05,CONFIRMADO,ZONA11,true
P857,CLI-347,2026-02-03,PENDIENTE,ZONA11,false
P858,CLI-461,2026-02-02,ENTREGADO,ZONA14,true
P859,CLI-465,2026-02-28,CONFIRMADO,ZONA12,false
P860,CLI-300,2026-02-15,ENTREGADO,ZONA8,true
P861,CLI-087,2026-02-09,ENTREGADO,ZONA1,true
